parallel_type,threads,chunk_size,num_chunks,sched_type,time
NONE,NA,100000,50,NA,19.628
OPENMP,1,100000,50,static,26.265
OPENMP,2,100000,50,static,15.149
OPENMP,4,100000,50,static,10.840
OPENMP,8,100000,50,static,11.240
OPENMP,16,100000,50,static,10.690
OPENMP,1,100000,50,dynamic,26.558
OPENMP,2,100000,50,dynamic,24.670
OPENMP,4,100000,50,dynamic,19.474
OPENMP,8,100000,50,dynamic,20.146
OPENMP,16,100000,50,dynamic,19.614
OPENMP,1,100000,50,guided,26.205
OPENMP,2,100000,50,guided,14.589
OPENMP,4,100000,50,guided,10.962
OPENMP,8,100000,50,guided,10.693
OPENMP,16,100000,50,guided,10.662
NONE,NA,250000,50,NA,48.485
OPENMP,1,250000,50,static,67.629
OPENMP,2,250000,50,static,36.294
OPENMP,4,250000,50,static,26.256
OPENMP,8,250000,50,static,24.873
OPENMP,16,250000,50,static,24.887
OPENMP,1,250000,50,dynamic,66.340
OPENMP,2,250000,50,dynamic,61.999
OPENMP,4,250000,50,dynamic,47.498
OPENMP,8,250000,50,dynamic,47.600
OPENMP,16,250000,50,dynamic,47.375
OPENMP,1,250000,50,guided,65.616
OPENMP,2,250000,50,guided,35.791
OPENMP,4,250000,50,guided,24.989
OPENMP,8,250000,50,guided,25.076
OPENMP,16,250000,50,guided,25.201
NONE,NA,500000,50,NA,96.362
OPENMP,1,500000,50,static,132.642
OPENMP,2,500000,50,static,72.058
OPENMP,4,500000,50,static,50.921
OPENMP,8,500000,50,static,53.512
OPENMP,16,500000,50,static,52.081
OPENMP,1,500000,50,dynamic,132.934
OPENMP,2,500000,50,dynamic,126.110
OPENMP,4,500000,50,dynamic,95.370
OPENMP,8,500000,50,dynamic,94.415
OPENMP,16,500000,50,dynamic,104.885
OPENMP,1,500000,50,guided,136.755
OPENMP,2,500000,50,guided,76.233
OPENMP,4,500000,50,guided,58.914
OPENMP,8,500000,50,guided,56.737
OPENMP,16,500000,50,guided,55.900
NONE,NA,1000000,50,NA,195.965
OPENMP,1,1000000,50,static,270.747
OPENMP,2,1000000,50,static,150.282
OPENMP,4,1000000,50,static,116.715
OPENMP,8,1000000,50,static,114.113
OPENMP,16,1000000,50,static,113.305
OPENMP,1,1000000,50,dynamic,271.219
OPENMP,2,1000000,50,dynamic,261.157
OPENMP,4,1000000,50,dynamic,204.856
OPENMP,8,1000000,50,dynamic,197.153
OPENMP,16,1000000,50,dynamic,196.612
OPENMP,1,1000000,50,guided,264.565
OPENMP,2,1000000,50,guided,144.488
OPENMP,4,1000000,50,guided,103.862
OPENMP,8,1000000,50,guided,109.053
OPENMP,16,1000000,50,guided,106.195
